x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
0.59,0,0,0.59,0,0,0,0,0,0,0,8.586,0,5.06574,1,1
0,0,0,0,0.23,0.23,0.23,0,0,0.175,0,1.294,0,0,1,1
0.93,0.93,0.46,0.93,1.39,0,0,0,0,0,0,1.442,0,1.34106,1,1
0.68,0,0.34,0,0.34,0,0,0.34,0,0.048,0.048,1.411,0.002304,0,1,1
0,0.36,0.36,0.72,0,0,0,0,0,0.019,0.019,1.714,0.000361,1.23408,1,1
0,0,0,0,1.98,1.32,0,0,0,2.205,0,3.184,0,0,1,1
0.48,0,0.48,0,0.48,0,0.48,0,0,0.589,0.294,4.85,0.173166,0,1,1
1.47,0,0,1.47,0,0,0,0,0,0.5,0,1.214,0,1.78458,1,1
0,0,0.3,0.92,2.15,0.61,0.3,0,0,1.053,0.351,3.884,0.369603,3.57328,1,1
0,0,0,0,0,0,0,0,0,0,0.1,4.548,0,0,1,1
2.53,1.26,1.26,1.26,0,5.06,0,0,0,0.537,0,72.5,0,91.35,1,1
0,0,0,0.53,0.53,0,0,0,0,0.877,0,3.4,0,1.802,1,1
0,0,0,0.44,0.44,0,0,0,0,0.807,0,3.849,0,1.69356,1,1
0.46,0,0.46,0.46,0.92,0,0,0,0,0.298,0.223,2.156,0.066454,0.99176,1,1
0.48,0,0,0.96,0.48,0.96,0,0,0,0.486,0.243,5.13,0.118098,4.9248,1,1
0,0,0,0,2.83,0,0,0,0,1.366,0,26.5,0,0,1,1
0,0,0,0.59,0,0,0,0,0,0.165,0.082,2.325,0.01353,1.37175,1,1
0,0.25,0.25,1.51,0.37,0.44,0.75,0,0,0.437,0.234,3.675,0.102258,5.54925,1,1
0.2,0,0.2,0,0.83,0.2,0,0,0.62,0.132,0,1.65,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0.338,1.666,0,0,1,1
0,0,0,0,0,0,0,0,0,1.431,0,4.071,0,0,1,1
0.23,0,0,0.47,0.23,0.95,0.47,0,0,0.197,0,5.038,0,2.36786,1,1
0,1.45,0.72,0,2.91,0,0,0,0,0.495,0,1.525,0,0,1,1
0,0,0,0,1.28,0,0,0,0,0.724,0,3.071,0,0,1,1
0,0,0,0,0,0,0,0,0,0.834,0,5.13,0,0,1,1
0.46,1.86,0.46,0,1.86,0,0.46,0,0,0.571,0.214,4.63,0.122194,0,1,1
0,0,0,0.38,0.38,0,0.38,0,0,0.061,0.061,1.775,0.003721,0.6745,1,1
0,0,0,0,0.79,1.58,0,0,0,0.268,0,2.815,0,0,1,1
0,0,0,0.33,0.2,0,0.06,0,0,0.096,0.085,3.353,0.00816,1.10649,1,1
0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1,1
1.12,0,0,0.56,0.56,2.8,0,0,0,1.083,0.333,4.974,0.360639,2.78544,1,1
0.05,0.26,0.26,0.97,0.26,0.44,0.34,0,0,0.322,0.764,6.1,0.246008,5.917,1,1
0.03,0.14,0.29,0.67,0.22,0.44,0.63,0,0,0.613,0.532,7.3,0.326116,4.891,1,1
0.03,0.14,0.29,0.67,0.22,0.44,0.63,0,0,0.612,0.531,7.3,0.324972,4.891,1,1
0,0.46,0,1.38,0,0.46,0,0,0,0.082,0.823,3.4,0.067486,4.692,1,1
0.46,0,0.46,0,0,0,0,0,0,0,0,2.676,0,0,1,1
0,0,0,0.7,1.05,0,0,0,0,1.284,0,3.639,0,2.5473,1,1
0,0,0,0.43,0.43,0,0,0,0,0.736,0,2.81,0,1.2083,1,1
0,0,0,0,0.6,0,0,0,0,0.31,0,4.897,0,0,1,1
0,0,0,0.41,0.41,0,0.41,0,0,0.461,0.527,3.166,0.242947,1.29806,1,1
0.7,0,0,0,2.83,0,0,0,0,0.38,0,1.153,0,0,1,1
0,0,0,0,0.64,0,0,0,0,0.662,0,10.068,0,0,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,0,0,1,1
0,0,0,0,0.64,0,0,0,0,0.662,0,10.068,0,0,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,0,0,1,1
0,0,0,0,0.64,0,0,0,0,0.662,0,10.068,0,0,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,0,0,1,1
0,0,0,0,0.79,0,0,0,0,0.462,0,5.793,0,0,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,0,0,1,1
1.96,0,0,1.96,0,0,0,0,0,0,0,6.166,0,12.08536,1,1
2.46,0,0,0,2.46,0,0,0,0,1.907,0,1.285,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,2.913,0,0,1,1
0.76,0,0,0.38,0,0,0,0,0,0,0.177,3.836,0,1.45768,1,1
0,0,0,0,0,0,0,0,0,0,0,1.238,0,0,1,1
0.12,0.5,0.5,0.88,0.25,0.12,0.12,0,0,0,0.119,4.155,0,3.6564,1,1
0,0,0,0,0.51,0,0,0,0,0.542,0,1.972,0,0,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.37,0.006372,0.711,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.379,0.006372,0.7137,1,1
2.56,1.28,1.28,1.28,0,5.12,0,0,0,0.542,0,102.666,0,131.41248,1,1
1.11,0,0,0.55,0.55,2.79,0,0,0,1.158,0.331,4.875,0.383298,2.68125,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.37,0.006372,0.711,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.379,0.006372,0.7137,1,1
0,0.19,0.3,0.73,0.23,0.42,0.5,0,0,0.335,1.281,7.202,0.429135,5.25746,1,1
0.16,0,0.16,0,0.16,0,0,0,0,0.271,0.024,5.709,0.006504,0,1,1
0.3,0,0,0,0,0,0,0,0,0.092,0.322,2.074,0.029624,0,1,1
0.33,0.84,0.33,1.51,0,1.68,0.33,0,0,1.194,0.054,5.567,0.064476,8.40617,1,1
0,0,0.5,1.01,0,0,0,0,0,0.089,0.178,3.416,0.015842,3.45016,1,1
0.59,0,0,1.19,0,0,0.59,0,0,0.427,0,10,0,11.9,1,1
0.4,1.2,0,0.8,0,1.6,0,0,0,0.706,0.212,1.838,0.149672,1.4704,1,1
0,0,0,2.07,0.41,0,0.41,0,0,0.97,0.149,32.142,0.14453,66.53394,1,1
0.38,0,0,0,0.38,0.76,0,0,0,0.598,0.179,4.523,0.107042,0,1,1
0.4,0.4,0.4,0,0.4,0,0.4,0,0,0.121,0,1.979,0,0,1,1
0,0,0,0,0.56,0,0,0,0,0.606,0,2.36,0,0,1,1
0.16,0,0,0.64,0,0.16,0,0,0,0.299,0.174,1.891,0.052026,1.21024,1,1
0,0,0,0,0,0,0,0,0,0.215,0.431,4,0.092665,0,1,1
0,0.19,0.39,0.39,0.98,0.19,0,0,0,0.16,0.16,2.128,0.0256,0.82992,1,1
0,0.19,0.39,0.39,0.98,0.19,0,0,0,0.16,0.16,2.128,0.0256,0.82992,1,1
0,0,0,0.33,0.66,0.66,0.33,0,0,0.12,0.541,5.428,0.06492,1.79124,1,1
0,0,0,0,2.98,0,0,1.49,0,0,0,1.1,0,0,1,1
0,0,0,1.65,0.82,0,0,0,0,0,0,1.769,0,2.91885,1,1
0,0,0,0.33,0.66,0.66,0.33,0,0,0.12,0.541,5.428,0.06492,1.79124,1,1
1.58,0,0,0,0,0,0,0,0,0.558,0.279,3.272,0.155682,0,1,1
0,0.19,0.3,0.73,0.23,0.42,0.5,0,0,0.335,1.281,7.202,0.429135,5.25746,1,1
1.58,0,0,0,0,0,0,0,0,0.558,0.279,3.272,0.155682,0,1,1
0,0,0,1.38,2.77,0,0,0,0,0.715,0,1.181,0,1.62978,1,1
0,0,0,0,0,0,0,0,0,0.215,0.431,4.277,0.092665,0,1,1
0,0,0,0.33,0.66,0.66,0.33,0,0,0.12,0.541,5.428,0.06492,1.79124,1,1
0.14,0,0.29,0,0.14,0,0,0,0,0.865,0.023,5.133,0.019895,0,1,1
0,0,0,0.72,0,0,0.72,0,0,0.063,0.126,2.562,0.007938,1.84464,1,1
0,2.98,0.27,0.54,0.81,1.63,0.27,0,0,0.565,0.121,1.617,0.068365,0.87318,1,1
0,0,0,0.39,0,1.17,1.56,0,0,0.261,0,1.461,0,0.56979,1,1
1.12,0,0,0.56,0.56,2.82,0,0,0,1.32,0.33,5.135,0.4356,2.8756,2,1
0,0,0,0,0,0.67,0,0,0,0.2,0,1.064,0,0,2,1
0,0,0,0,0.62,0,0,0,0,1.055,0,2.033,0,0,2,1
0,0,0,0,0.33,0,0,0,0,0.484,0,1.796,0,0,2,1
0,0,0,0,4.76,0,0,0,0,0,0,2.375,0,0,2,1
1.31,1.31,0,0,0,1.31,0,0,0,0.117,0.117,48.5,0.013689,0,2,1
0.45,0,0,0,0.45,0.45,0,0,0,0.135,0,5.571,0,0,2,1
0,0,0,2.13,0,1.7,0.42,0,0,1.088,0,5.714,0,12.17082,2,1
0,0,0,0,0,0,0,0,0,0,0.185,7.313,0,0,2,1
0,0,0,0,0.43,0,0,0.21,0,0.146,0.146,6.233,0.021316,0,2,1
0,0.46,0,1.38,0,0.46,0,0,0,0.081,0.816,3.4,0.066096,4.692,2,1
0,0.29,0.29,0,0.87,0.29,0,0,0,0.265,0,3.121,0,0,2,1
0.34,0,0,0,0.68,0,0,0,0,0,0,3.131,0,0,2,1
0,0.46,0,1.38,0,0.46,0,0,0,0.081,0.816,3.4,0.066096,4.692,2,1
0.62,0,0,3.1,0,1.24,0.62,0,0,0.517,0,3.363,0,10.4253,2,1
1.05,0,0,0,0,0,0,0,0,0,0,4.5,0,0,2,1
0,0,0,0.71,0.35,0,0,0,0,0.7,0,3.768,0,2.67528,2,1
0.15,0,0.15,0,0.15,0,0,0,0,0.567,0.024,5.425,0.013608,0,2,1
0.57,0,0,1.15,0,0,0.57,0,0,0.518,0,10.117,0,11.63455,2,1
0.26,0,0.26,0,0.79,0,0.52,0,0,0.31,0,5.549,0,0,2,1
0.08,0.42,0,0.6,0,0.17,0.08,0,0,0.095,0.013,4.07,0.001235,2.442,2,1
0,0,0,0,0.5,0,0,0,0,0.892,0,2,0,0,2,1
0,0,0,0,0.54,0,0,0,0,1.443,0,1.969,0,0,2,1
0,2.34,0.78,1.56,0,0.78,0,0,0,0.889,0,2.13,0,3.3228,2,1
0,2.04,1.02,0,0,0,0,0,0,0.968,0,2.179,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,2,1
0,0,0,1.34,0.44,0,0.44,0,0,0.944,0.145,2.451,0.13688,3.28434,2,1
0,0,0,0.66,0.33,0,0,0,0,0.583,0,4.024,0,2.65584,2,1
0,2.04,1.02,0,0,0,0,0,0,0.969,0,2.179,0,0,2,1
0.08,0.25,0.34,0.51,0.08,0,0.34,0,0,0.258,0.258,5.297,0.066564,2.70147,2,1
0.08,0.26,0.34,0.52,0.08,0,0.34,0,0,0.259,0.259,3.335,0.067081,1.7342,2,1
0,0,0,2.18,0,1.74,0.43,0,0,0.835,0,5.114,0,11.14852,2,1
0,0,0,1.33,0.44,0,0.44,0,0,1.083,0.144,2.428,0.155952,3.22924,2,1
0,0,0,0,0,0,0,0,0,0.118,0,1.307,0,0,2,1
0,0,0,0,0,0,0,0,0,1.754,0,1,0,0,2,1
0,0.05,0,0.17,0.05,0,0.23,0,0,0.032,0.14,1.364,0.00448,0.23188,2,1
3.12,0,0,3.12,3.12,0,0,0,0,0,0,9.428,0,29.41536,2,1
0,0,0,1.59,1.59,0.53,0.53,0,0,0.28,0.186,2.823,0.05208,4.48857,2,1
0.93,0,0,0,0.46,0.46,0,0,0,0.135,0,4,0,0,2,1
1.12,1.12,0.56,2.25,2.25,0,0,0,0,0,0,1.416,0,3.186,2,1
0,0,0,0.66,0,0.66,1.32,0,0,0.83,0.069,3.215,0.05727,2.1219,2,1
0,0,0,0.8,1.61,0,0,0,0,1.192,0,1.463,0,1.1704,2,1
0.14,0,0.14,0,0.14,0,0,0,0,0.585,0.046,5.02,0.02691,0,2,1
0.08,0.42,0,0.6,0,0.17,0.08,0,0,0.095,0.013,4.07,0.001235,2.442,2,1
0,0,0,0.81,0,0,0,0,0,0.294,0.147,2.333,0.043218,1.88973,2,1
1.08,0,0,0.54,0.54,0.54,0,0,0,1.18,0.252,5.323,0.29736,2.87442,2,1
0.08,0.42,0,0.6,0,0.17,0.08,0,0,0.108,0.013,4.07,0.001404,2.442,2,1
1.07,0,0,0.53,0.53,0.53,0,0,0,1.183,0.253,5.454,0.299299,2.89062,2,1
0.51,0,0,0,2.07,0,0,0,0,0.067,0,2.676,0,0,2,1
1.09,0,0,0.54,0.54,3.29,0,0,0,1.045,0.321,5.047,0.335445,2.72538,2,1
0,0,0,0.38,0.38,0.77,0,0,0,0.985,0.184,3.923,0.18124,1.49074,2,1
0,0,0,0.39,0.39,0.78,0,0,0,0.869,0.186,4,0.161634,1.56,2,1
0.86,0,0,0.43,0,0.86,1.29,0,0,0.915,0,3.891,0,1.67313,2,1
0,0.45,0.22,0,0,0.91,0,0,0,0.187,0.112,3.184,0.020944,0,2,1
0,0,0,0,0.56,0,0,0,0,0.615,0,2.403,0,0,2,1
0,0,0,0,0.55,0,0,0,0,0.893,0,2.122,0,0,2,1
0,0,0,0.65,0,0,1.31,0,0,0.816,0.068,3.173,0.055488,2.06245,2,1
0.61,0,0,0,0,1.23,0,0,0,0.353,0,2.25,0,0,2,1
0.44,0.44,0,0.88,0.44,0,0.44,0,0,0.563,0.15,86.65,0.08445,76.252,2,1
0.08,0.25,0.34,0.51,0.08,0,0.34,0,0,0.287,0.223,3.314,0.064001,1.69014,2,1
1.04,0,0,0,2.08,0,0,0,0,0,0,3.812,0,0,2,1
1.33,0,0,0,0,0,0,0,0,0.202,1.417,29.125,0.286234,0,2,1
1.08,0,0,0.54,0.54,0.54,0,0,0,1.182,0.253,5.454,0.299046,2.94516,2,1
0,0,0,0.62,0,1.25,0,0,0,0.08,0,2.111,0,1.30882,2,1
0,0,0,0,0.9,0,0,0,0,0.165,0.165,6.266,0.027225,0,2,1
0,0.02,0,0.25,0.05,0.22,0.02,0,0,0,0.022,1.423,0,0.35575,2,1
0,0.02,0,0.25,0.05,0.22,0.02,0,0,0,0.022,1.423,0,0.35575,2,1
0.53,0.17,0.26,1.25,0.62,0.08,0.08,0,0,0.212,0.185,6.815,0.03922,8.51875,2,1
0,0,0,0,0.96,0.96,0,0,0,0.468,0.267,3.315,0.124956,0,2,1
0,0.46,0,1.38,0,0.46,0,0,0,0.081,0.816,3.4,0.066096,4.692,2,1
0.68,0,0,0.68,0.68,0,0.34,0,0,0.366,0.061,1.895,0.022326,1.2886,2,1
0,0,0.36,0.9,0.72,0,0.54,0,0,0.633,0.063,9.043,0.039879,8.1387,2,1
0.39,0.13,0,0.78,1.57,0,0.39,0,0,0.779,0.021,2.689,0.016359,2.09742,2,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.157,1.537,0,0.49184,2,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.159,1.537,0,0.49184,2,1
0,0.59,0,0.39,0.59,0.39,0.19,0,0,0.258,0.032,3.112,0.008256,1.21368,2,1
0,0.46,0.23,0,0,0.92,0,0,0,0.188,0.112,3.105,0.021056,0,2,1
0,0,0,0,0.71,0,0,0,0,1.094,0,2.021,0,0,2,1
2.98,0,0,0,1.49,2.98,0,0,0,0,0.171,13,0,0,2,1
0.16,0,0.16,0,0.5,0,0,0.33,0,0.884,0.752,5.328,0.664768,0,2,1
0,0,0,0,0.55,0,0,0,0,0.683,0,2.338,0,0,2,1
0.16,0,0.16,0,0.16,0,0,0,0,0.773,0.08,6.586,0.06184,0,2,1
0,0,0,0.36,0,0.72,0,0,0,0,0,1.543,0,0.55548,2,1
1.69,0,0,0.84,10.16,0.84,0.84,0,0,1.113,0.278,173,0.309414,145.32,2,1
0,0,0,0,0,0,0,0,0,0,0,1.103,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,1.103,0,0,2,1
0.08,0.43,0,0.6,0,0.17,0.08,0,0,0.088,0.013,4.16,0.001144,2.496,2,1
2.18,0,0,0.54,0,0,0,0,0,0.471,0,15.08,0,8.1432,2,1
0,0,0,0.85,0.85,0,0,0,0,0,0.082,7.17,0,6.0945,2,1
0,0,0,0,1.05,0,0,0,0,1.806,0,1.293,0,0,2,1
0,0,0.22,0.9,0.22,0,0.22,0,0,0.129,0.193,7.258,0.024897,6.5322,2,1
2.23,0,0,0.55,0,0,0,0,0,0.479,0,16.739,0,9.20645,2,1
0,2.24,1.12,1.12,0,0,0,0,0,0.814,0,2.6,0,2.912,2,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.158,1.494,0,0.47808,2,1
0,0.71,0,0,0,2.87,0,0,0,0.937,0,11.888,0,0,2,1
2.23,0,0,0.55,0,0,0,0,0,0.479,0,16.739,0,9.20645,2,1
1.07,0,0,0,2.15,0,0,0,0,0.145,0.437,1.823,0.063365,0,2,1
0,0,0,0,0.95,0.95,0,0,0,0.461,0.263,3.493,0.121243,0,2,1
0.15,0,0.15,0,1.11,0,0,0.95,0,0.862,0.707,5.423,0.609434,0,2,1
0,0,0,0,0,0,0,3.58,0,0,0,2.5,0,0,2,1
0,0,0,0.76,0,0,0,0,0,2.766,0.829,5.607,2.293014,4.26132,2,1
0.08,0,0,1.3,0.48,0.08,0.16,0,0,0.39,0.097,5.594,0.03783,7.2722,2,1
0,0.27,0.41,1.04,1.11,0.69,0.69,0,0,0.75,0.305,3.401,0.22875,3.53704,2,1
0,0.27,0.41,0.97,1.11,0.69,0.69,0,0,0.75,0.305,3.401,0.22875,3.29897,2,1
0,0,0,0,4,0,0,0,0,2.453,0,4.153,0,0,2,1
0,0.71,0,0,0,2.85,0,0,0,0.931,0,12.055,0,0,2,1
0,0,0,0,0.8,0.8,0,0,0,1.62,0.347,2.604,0.56214,0,2,1
0.33,0.33,0,0.33,0.33,0.33,0.33,0,0,0,0.162,2.195,0,0.72435,2,1
0.07,0,0.07,1.48,0,0.14,0.14,0,0,0.159,0.159,3.456,0.025281,5.11488,2,1
0.33,0.33,0,0.33,0.33,0.33,0.33,0,0,0,0.161,2.195,0,0.72435,2,1
0.15,0,0.15,0,1.11,0,0,0.95,0,0.862,0.707,5.423,0.609434,0,2,1
0,0,0,0,0.31,0,0,0,0,0.043,0,1.741,0,0,2,1
0.17,0,0.17,0,0.17,0,0,0,0,0.665,0.083,6.294,0.055195,0,2,1
0,0,0,0,0.79,0.79,0,0,0,0.271,0.135,3.257,0.036585,0,2,1
0,0,0.14,0.58,0.14,0,0.44,0,0,0.204,0.127,2.962,0.025908,1.71796,2,1
0,0,0,0,0,0,0,0,0,0.784,0,5.687,0,0,2,1
0,0.25,0,1.5,0.25,0.5,0.25,0,0,0.203,0.203,2.866,0.041209,4.299,2,1
1.16,0,0.58,0,0.58,0,0,0,0,0.09,0.09,1.829,0.0081,0,2,1
0,0,0.14,0.58,0.14,0,0.44,0,0,0.204,0.127,2.962,0.025908,1.71796,2,1
0,0,0.14,0.58,0.14,0,0.44,0,0,0.204,0.127,2.962,0.025908,1.71796,2,1
0.58,0,0,0.58,0.58,0,0,0,0,0.829,0,2.529,0,1.46682,2,1
0,0,0,1.51,0,0.5,0,0,0,0.041,0.124,3.181,0.005084,4.80331,2,1
3.12,0,0,3.12,0,0,0,0,0,0,0,9.428,0,29.41536,2,1
2.28,0,0,0.57,0,0,0,0,0,0.487,0,16.217,0,9.24369,2,1
0.17,0.52,0.35,0.52,0,0.17,0,0,0,0.085,0.057,3.564,0.004845,1.85328,2,1
0,0,0,0,0.95,0.95,0,0,0,0.401,0.267,3.459,0.107067,0,2,1
2.28,0,0,0.57,0,0,0,0,0,0.487,0,16.217,0,9.24369,2,1
0.17,0,0.17,0,0.17,0,0,0,0,0.315,0,6.364,0,0,2,1
2.28,0,0,0.57,0,0,0,0,0,0.487,0,16.217,0,9.24369,2,1
3.27,0,0,0,1.63,1.63,0,0,0,0.54,0.18,14.818,0.0972,0,2,1
0.14,0,0.29,0,0.87,0,0,0,0,0.764,0.784,4.979,0.598976,0,2,1
0.19,0,0.19,0,0.19,0,0,0,0,0.632,0.03,6.789,0.01896,0,2,1
0.2,0.6,0.2,1.2,0.4,1.61,0.6,0,0,1.453,0.129,3.946,0.187437,4.7352,2,1
0,0,0,0,0,0,0,0,0,0.531,0,2.9,0,0,2,1
0.15,0,0.3,0,0.92,0,0,0,0,0.732,0.753,5.058,0.551196,0,2,1
0,0,0,0,0.52,0,0,0,0,0.867,0,2.22,0,0,2,1
0,0,0,0,0.42,0,0,0,0,1.117,0,1.206,0,0,2,1
0.06,0.06,0.06,0.54,0,0.72,0.06,0,0,0.01,0.167,1.733,0.00167,0.93582,3,1
0.2,0.62,0.31,1.04,0.1,1.14,0.2,0.1,0,0.785,0.065,4.064,0.051025,4.22656,3,1
5.4,0,0,0,5.4,0,0,0,0,0.841,0.21,24.785,0.17661,0,3,1
0.17,0.89,0.35,1.61,0,1.79,0.35,0,0,1.158,0.057,5.163,0.066006,8.31243,3,1
0.08,0,0,1.37,0.51,0.08,0.17,0,0,0.348,0.103,5.392,0.035844,7.38704,3,1
0.23,0.23,0,0.69,0,0.69,0.23,0,0,0.841,0.036,1.862,0.030276,1.28478,3,1
0,0.06,0.13,0.26,0,0,0,0,0,0,0.032,1.206,0,0.31356,3,1
0,1.05,0.52,1.05,1.05,0,0.52,0,0,0.702,0.263,6.487,0.184626,6.81135,3,1
0.32,0.64,0,0.32,0.32,0.32,0.32,0,0,0,0.157,1.494,0,0.47808,3,1
0,0,0,0.54,0.54,0.54,0,0,0,0.715,0.318,2.345,0.22737,1.2663,3,1
0,0,0,0,1.63,0,0,0,0,0.759,0.253,2,0.192027,0,3,1
0,0.18,0,2.07,0,0.37,0.18,0,0,0.242,0.107,2.623,0.025894,5.42961,3,1
0.35,1.41,0.35,1.06,0.7,1.06,0,0,0,0.411,0,2.917,0,3.09202,3,1
2.41,0.34,2.06,2.06,0,0,0,0,0,0,0,1.888,0,3.88928,3,1
0,0.37,0,2.07,0,0.37,0.18,0,0,0.295,0.107,2.542,0.031565,5.26194,3,1
0.64,0,0,0.64,0.64,0.64,0,0,0,0.551,0.459,2.333,0.252909,1.49312,3,1
