Id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,YrSold,SalePrice
59,13682,10,5,2006,2006,Y,1426,1519,2945,3,1,3,1,10,1,3,641,2006,438780
60,7200,5,7,1972,1972,Y,780,0,780,1,0,2,1,4,0,1,352,2008,124900
61,13072,6,5,2004,2004,Y,1158,0,1158,1,1,3,1,5,0,2,576,2006,158000
62,7200,5,7,1920,1996,N,581,530,1111,1,0,3,1,6,0,1,288,2007,101000
63,6442,8,5,2006,2006,Y,1370,0,1370,2,0,2,1,6,1,2,484,2007,202500
64,10300,7,6,1921,1950,Y,902,808,1710,2,0,3,1,9,0,2,480,2010,140000
65,9375,7,5,1997,1998,Y,1057,977,2034,2,1,3,1,8,0,2,645,2009,219500
66,9591,8,5,2004,2005,Y,1143,1330,2473,2,1,4,1,9,1,3,852,2007,317000
67,19900,7,5,1970,1989,Y,2207,0,2207,2,0,3,1,7,1,2,576,2010,180000
68,10665,7,5,2003,2003,Y,1479,0,1479,2,0,3,1,7,0,2,558,2007,226000
69,4608,4,6,1945,1950,Y,747,0,747,1,0,2,1,4,0,1,220,2010,80000
70,15593,7,4,1953,1953,Y,1304,983,2287,2,0,3,1,7,1,2,667,2006,225000
71,13651,7,6,1973,1973,Y,2223,0,2223,2,0,3,1,8,2,2,516,2007,244000
72,7599,4,6,1982,2006,Y,845,0,845,1,0,2,1,4,0,2,360,2007,129500
73,10141,7,5,1998,1998,Y,885,833,1718,2,1,3,1,7,1,2,427,2009,185000
74,10200,5,7,1954,2003,Y,1086,0,1086,1,0,3,1,6,0,2,490,2010,144900
75,5790,3,6,1915,1950,N,840,765,1605,2,0,3,2,8,0,1,379,2010,107400
76,1596,4,5,1973,1973,Y,526,462,988,1,0,2,1,5,0,1,297,2009,91000
77,8475,4,7,1956,1956,Y,952,0,952,1,0,2,1,4,0,1,283,2008,135750
78,8635,5,5,1948,2001,Y,1072,213,1285,1,0,2,1,6,0,1,240,2008,127000
79,10778,4,5,1968,1968,N,1768,0,1768,2,0,4,2,8,0,0,0,2010,136500
80,10440,5,6,1910,1981,Y,682,548,1230,1,1,2,1,5,0,2,440,2009,110000
81,13000,6,6,1968,1968,Y,1182,960,2142,2,1,4,1,8,1,1,509,2009,193500
82,4500,6,5,1998,1998,Y,1337,0,1337,2,0,2,1,5,0,2,405,2006,153500
83,10206,8,5,2007,2007,Y,1563,0,1563,2,0,3,1,6,1,3,758,2008,245000
84,8892,5,5,1960,1960,Y,1065,0,1065,1,1,3,1,6,0,2,461,2007,126500
85,8530,7,5,1995,1996,Y,804,670,1474,2,1,3,1,7,1,2,400,2009,168500
86,16059,8,5,1991,1992,Y,1301,1116,2417,2,1,4,1,9,1,2,462,2006,260000
87,11911,6,5,2005,2005,Y,684,876,1560,2,1,3,1,6,1,2,400,2009,174000
88,3951,6,5,2009,2009,Y,612,612,1224,2,1,2,1,4,0,2,528,2009,164500
89,8470,3,2,1915,1982,N,1013,0,1526,1,0,2,1,6,0,0,0,2009,85000
90,8070,4,5,1994,1995,Y,990,0,990,1,0,3,1,5,0,0,0,2007,123600
91,7200,4,5,1950,1950,Y,1040,0,1040,1,0,2,1,4,0,2,420,2006,109900
92,8500,5,3,1961,1961,Y,1235,0,1235,1,0,2,1,6,0,2,480,2006,98600
93,13360,5,7,1921,2006,Y,964,0,964,1,0,2,1,5,0,2,432,2009,163500
94,7200,6,6,1910,1998,N,1260,1031,2291,2,0,4,2,9,1,2,506,2007,133900
95,9337,6,5,1997,1997,Y,905,881,1786,2,1,3,1,7,0,2,684,2007,204750
96,9765,6,8,1993,1993,Y,680,790,1470,2,1,3,1,6,1,2,420,2009,185000
97,10264,7,5,1999,1999,Y,1588,0,1588,2,0,3,1,6,0,2,472,2006,214000
98,10921,4,5,1965,1965,Y,960,0,960,1,0,3,1,6,0,1,432,2007,94750
99,10625,5,5,1920,1950,N,835,0,835,1,0,2,1,5,0,1,366,2010,83000
100,9320,4,5,1959,1959,Y,1225,0,1225,1,1,3,1,6,0,0,0,2010,128950
101,10603,6,7,1977,2001,Y,1610,0,1610,2,0,3,1,6,2,2,480,2010,205000
102,9206,6,5,1985,1985,Y,977,755,1732,2,1,3,1,7,1,2,476,2010,178000
103,7018,5,5,1979,1979,Y,1535,0,1535,2,0,4,2,8,0,2,410,2009,118964
104,10402,7,5,2009,2009,Y,1226,0,1226,2,0,3,1,6,0,3,740,2010,198900
105,7758,7,4,1931,1950,Y,1226,592,1818,1,1,4,1,7,2,1,240,2007,169500
106,9375,8,5,2003,2004,Y,1053,939,1992,2,1,3,1,9,1,2,648,2008,250000
107,10800,4,7,1885,1995,Y,1047,0,1047,1,0,2,1,6,0,1,273,2007,100000
108,6000,5,5,1948,1950,Y,789,0,789,1,0,2,1,5,0,1,250,2008,115000
109,8500,5,7,1919,2005,N,997,520,1517,2,0,3,1,7,0,0,0,2007,115000
110,11751,6,6,1977,1977,Y,1844,0,1844,2,0,3,1,7,1,2,546,2010,190000
111,9525,6,4,1954,1972,Y,1216,639,1855,2,0,4,1,7,0,1,325,2006,136900
112,7750,7,5,2000,2000,Y,774,656,1430,2,1,3,1,7,1,2,400,2010,180000
113,9965,7,5,2007,2007,Y,1282,1414,2696,2,1,4,1,10,1,3,792,2007,383970
114,21000,6,5,1953,1953,Y,2259,0,2259,2,0,3,1,7,2,2,450,2007,217000
115,7259,6,8,1945,2002,Y,1436,884,2320,2,1,3,1,9,1,1,180,2007,259500
116,3230,6,5,1999,1999,Y,729,729,1458,2,1,2,1,5,1,2,440,2007,176000
117,11616,5,5,1962,1962,Y,1092,0,1092,1,0,3,1,6,1,1,288,2009,139000
118,8536,5,5,2006,2007,Y,1125,0,1125,1,1,2,1,5,0,2,430,2007,155000
119,12376,7,5,1990,1990,Y,1699,1523,3222,3,0,5,1,11,2,3,594,2010,320000
120,8461,6,5,2005,2006,Y,728,728,1456,2,1,3,1,8,1,2,390,2006,163990
121,21453,6,5,1969,1969,Y,988,0,988,1,0,1,1,4,2,2,540,2006,180000
122,6060,4,5,1939,1950,Y,772,351,1123,1,0,3,1,4,0,1,264,2007,100000
123,9464,6,7,1958,1958,Y,1080,0,1080,1,0,3,1,5,0,1,288,2008,136000
124,7892,6,5,1993,1993,Y,1199,0,1199,2,0,2,1,5,0,2,530,2008,153900
125,17043,6,5,1979,1998,Y,1586,0,1586,2,0,3,1,7,1,2,435,2009,181000
126,6780,6,8,1935,1982,N,520,0,754,1,0,2,1,5,0,0,0,2006,84500
127,4928,6,5,1976,1976,Y,958,0,958,2,0,2,1,5,1,2,440,2007,128000
128,4388,5,7,1930,1950,Y,840,0,840,1,0,3,1,5,1,0,0,2007,87000
129,7590,6,5,1966,1966,Y,660,688,1348,1,1,3,1,6,1,2,453,2006,155000
130,8973,5,7,1958,1991,Y,1053,0,1053,1,1,3,1,6,0,2,750,2006,150000
131,14200,7,6,1966,1966,Y,1216,941,2157,2,1,4,1,8,2,2,487,2006,226000
132,12224,6,5,2000,2000,Y,1022,1032,2054,2,1,3,1,7,1,2,390,2009,244000
133,7388,5,6,1959,2002,Y,1327,0,1327,1,0,3,1,7,0,2,624,2007,150750
134,6853,8,5,2001,2002,Y,1296,0,1296,2,0,2,1,6,0,2,471,2009,220000
135,10335,5,6,1968,1993,Y,1721,0,1721,2,1,3,1,7,1,2,440,2006,180000
136,10400,7,6,1970,1970,Y,1682,0,1682,2,0,3,1,7,1,2,530,2008,174000
137,10355,5,5,1967,1967,Y,1214,0,1214,2,0,3,1,5,1,1,318,2007,143000
138,11070,7,5,1988,1989,Y,1959,0,1959,3,0,5,2,9,0,3,766,2006,171000
139,9066,8,5,1999,2000,Y,1004,848,1852,2,1,3,1,7,2,3,660,2008,230000
140,15426,6,5,1997,1997,Y,928,836,1764,2,1,3,1,7,0,2,470,2009,231500
141,10500,4,5,1971,1971,Y,864,0,864,1,0,3,1,5,1,0,0,2010,115000
142,11645,7,5,2005,2005,Y,1734,0,1734,2,0,3,1,7,0,2,660,2006,260000
143,8520,5,4,1952,1952,Y,910,475,1385,2,0,4,1,6,0,2,720,2010,166000
144,10335,7,5,1999,1999,Y,1501,0,1501,2,0,3,1,6,0,2,577,2009,204000
145,9100,5,5,1963,1963,Y,1728,0,1728,2,0,6,2,10,0,2,504,2006,125000
146,2522,6,5,2004,2006,Y,970,739,1709,2,0,3,1,7,0,2,380,2006,130000
147,6120,5,7,1931,1993,Y,875,0,875,1,0,2,1,5,0,1,180,2009,105000
148,9505,7,5,2001,2001,Y,884,1151,2035,2,1,3,1,8,1,2,434,2010,222500
149,7500,7,5,2004,2005,Y,1080,0,1080,1,0,3,1,6,0,0,0,2008,141000
150,6240,5,4,1936,1950,Y,896,448,1344,1,0,3,1,7,0,1,240,2006,115000
151,10356,5,6,1975,1975,Y,969,0,969,1,1,3,1,5,0,2,440,2007,122000
152,13891,8,5,2007,2008,Y,1710,0,1710,2,0,2,1,6,1,3,866,2008,372402
153,14803,6,5,1971,1971,Y,1097,896,1993,2,1,4,1,8,1,2,495,2006,190000
154,13500,6,7,1960,1975,Y,1252,0,1252,1,0,1,1,4,1,2,564,2008,235000
155,11340,6,5,1923,1950,Y,1200,0,1200,1,0,4,1,7,0,1,312,2006,125000
156,9600,6,5,1924,1950,N,572,524,1096,1,0,2,1,5,0,0,0,2008,79000
157,7200,5,7,1950,1950,Y,1040,0,1040,1,0,2,1,5,0,2,625,2006,109500
158,12003,8,5,2009,2010,Y,774,1194,1968,2,1,4,1,8,1,3,680,2010,269500
159,12552,7,5,2004,2005,Y,991,956,1947,2,1,3,1,8,1,2,678,2010,254900
160,19378,7,5,2005,2006,Y,1392,1070,2462,2,1,4,1,9,1,2,576,2006,320000
161,11120,6,6,1984,1984,Y,1232,0,1232,2,0,3,1,6,0,2,516,2008,162500
162,13688,9,5,2003,2004,Y,1572,1096,2668,2,1,3,1,10,2,3,726,2008,412500
163,12182,7,5,2005,2005,Y,1541,0,1541,2,0,3,1,7,1,2,532,2010,220000
164,5500,4,6,1956,1956,Y,882,0,882,1,0,1,1,4,0,0,0,2007,103200
165,5400,6,7,1926,2004,Y,1149,467,1616,2,0,3,1,5,0,1,216,2007,152000
166,10106,5,7,1940,1999,Y,808,547,1355,2,0,4,2,6,0,0,0,2008,127500
167,10708,5,5,1955,1993,Y,1867,0,1867,1,0,2,1,7,3,1,303,2009,190000
168,10562,8,5,2007,2007,Y,1610,551,2161,1,1,3,1,8,1,3,789,2007,325624
169,8244,7,5,2004,2004,Y,840,880,1720,2,1,3,1,7,1,2,440,2007,183500
170,16669,8,6,1981,1981,Y,1707,0,1707,2,1,2,1,6,1,2,511,2006,228000
171,12358,5,6,1941,1950,Y,854,0,1382,1,1,2,1,7,0,2,660,2007,128500
172,31770,6,5,1960,1960,Y,1656,0,1656,1,0,3,1,7,2,2,528,2010,215000
173,5306,7,7,1987,1987,Y,1064,703,1767,2,0,2,1,5,1,2,504,2006,239000
174,10197,6,5,1961,1961,Y,1362,0,1362,1,1,3,1,6,1,2,504,2008,163000
175,12416,6,5,1986,1986,Y,1651,0,1651,2,0,3,1,7,1,2,616,2008,184000
176,12615,6,7,1950,2001,Y,2158,0,2158,2,0,4,1,7,1,2,576,2007,243000
177,10029,6,5,1988,1989,Y,1164,896,2060,2,1,4,1,8,1,2,521,2007,211000
178,13650,5,5,1958,1958,Y,1252,668,1920,2,0,4,1,8,1,2,451,2006,172500
179,17423,9,5,2008,2009,Y,2234,0,2234,2,0,1,1,9,1,3,1166,2009,501837
180,8520,5,6,1923,2006,Y,968,0,968,1,0,2,1,5,0,2,480,2007,100000
181,2117,6,5,2000,2000,Y,769,756,1525,2,1,3,1,5,1,2,440,2007,177000
182,7588,7,6,1920,1950,Y,901,901,1802,1,1,4,1,9,1,1,216,2006,200100
183,9060,5,6,1957,2006,Y,1340,0,1340,1,0,3,1,7,1,1,252,2007,120000
184,11426,7,5,2003,2003,Y,1362,720,2082,2,1,3,1,6,0,2,484,2008,200000
185,7438,5,8,1908,1991,Y,936,316,1252,1,0,3,1,5,0,2,576,2006,127000
186,22950,10,9,1892,1993,Y,1518,1518,3608,2,1,4,1,12,2,3,840,2006,475000
187,9947,7,5,1990,1991,Y,1217,0,1217,2,0,3,1,6,0,2,497,2009,173000
188,10410,5,7,1916,1987,Y,808,704,1656,2,1,3,1,8,0,1,180,2009,135000
189,7018,5,5,1979,1979,Y,1224,0,1224,0,2,2,2,6,2,2,528,2009,153337
190,4923,8,5,2001,2002,Y,1593,0,1593,1,1,0,1,5,1,2,682,2008,286000
191,10570,8,8,1932,1994,Y,1549,1178,2727,2,1,3,1,10,2,2,440,2007,315000
192,7472,7,9,1972,2004,Y,725,754,1479,1,1,4,1,7,0,2,484,2007,184000
193,9017,7,5,1999,1999,Y,1431,0,1431,2,0,3,1,6,0,2,666,2009,192000
194,2522,7,5,2004,2004,Y,970,739,1709,2,0,3,1,7,0,2,380,2006,130000
195,7180,5,7,1972,1972,Y,864,0,864,1,0,3,1,5,0,1,352,2008,127000
196,2280,6,6,1976,1976,Y,855,601,1456,2,1,3,1,7,1,2,440,2009,148500
197,9416,7,5,2007,2007,Y,1726,0,1726,2,0,3,1,8,1,3,786,2007,311872
198,25419,8,4,1918,1990,Y,1360,1360,3112,2,0,4,1,8,1,2,795,2006,235000
199,5520,6,6,1912,1950,Y,929,929,2229,1,0,5,1,8,0,0,0,2009,104000
200,9591,8,5,2004,2005,Y,1713,0,1713,2,0,3,1,7,1,3,856,2009,274900
201,8546,4,5,2003,2004,Y,1121,0,1121,2,0,2,1,5,0,2,440,2010,140000
202,10125,6,6,1977,1977,Y,1279,0,1279,2,0,3,1,6,2,2,473,2008,171500
203,7000,6,6,1924,1950,Y,865,445,1310,2,0,2,1,6,0,1,398,2006,112000
204,4438,6,5,2004,2004,Y,848,0,848,1,0,1,1,3,1,2,420,2008,149000
205,3500,5,7,1947,1950,Y,720,564,1284,1,1,2,1,5,0,1,240,2009,110000
206,11851,7,5,1990,1990,Y,1442,0,1442,2,0,3,1,5,0,2,500,2009,180500
207,13673,5,5,1962,1962,Y,1696,0,1696,1,1,3,1,8,1,1,349,2007,143900
208,12493,4,5,1960,1960,Y,1100,0,1100,1,0,3,1,6,1,1,312,2008,141000
209,14364,7,5,1988,1989,Y,1180,882,2062,2,1,3,1,7,1,2,454,2007,277000
210,8250,6,7,1964,1964,Y,1092,0,1092,1,0,3,1,6,0,2,504,2008,145000
211,5604,5,6,1925,1950,N,864,0,864,1,0,2,1,5,0,0,0,2008,98000
212,10420,6,5,2009,2009,Y,1212,0,1212,2,0,3,1,6,0,2,460,2010,186000
213,8640,7,5,2009,2009,Y,932,920,1852,2,1,3,1,7,1,2,644,2009,252678
214,13568,5,5,1995,1995,Y,990,0,990,1,0,3,1,5,0,2,576,2006,156000
215,10900,6,7,1977,1977,Y,689,703,1392,1,1,3,1,6,0,1,299,2010,161750
216,10011,5,6,1957,1996,Y,1236,0,1236,1,0,2,1,6,1,1,447,2006,134450
217,8450,7,5,2004,2004,Y,1436,0,1436,2,0,3,1,8,0,2,484,2008,210000
218,9906,4,4,1925,1950,N,810,518,1328,1,0,3,1,8,0,1,210,2006,107000
219,15660,7,9,1939,2006,Y,1137,817,1954,1,1,3,1,8,2,2,431,2008,311500
220,3010,7,5,2005,2006,Y,1248,0,1248,2,0,2,1,5,0,2,438,2006,167240
221,8990,7,5,2006,2006,Y,1498,0,1498,2,0,2,1,5,0,2,675,2006,204900
222,8068,6,5,2002,2002,Y,1010,1257,2267,2,1,4,1,8,1,2,390,2009,200000
223,11475,6,6,1975,1975,Y,811,741,1552,2,1,3,1,6,1,2,434,2006,179900
224,10500,4,6,1971,1971,Y,864,0,864,1,0,2,1,4,0,2,576,2009,97000
225,13472,10,5,2003,2003,Y,2392,0,2392,2,0,3,1,8,1,3,968,2009,386250
226,1680,5,5,1971,1971,Y,630,672,1302,2,1,3,1,6,0,1,280,2009,112000
227,9950,7,5,1995,1995,Y,1214,1306,2520,2,1,4,1,9,1,3,721,2007,290000
228,1869,6,6,1970,1970,Y,483,504,987,1,1,2,1,5,0,1,280,2008,106000
229,8521,5,5,1967,1967,Y,912,0,912,1,0,3,1,5,1,1,336,2010,125000
230,3182,7,5,2005,2006,Y,1555,0,1555,2,0,2,1,7,1,2,430,2009,192500
231,8760,6,6,1959,1959,Y,1194,0,1194,1,0,3,1,6,0,1,312,2010,148000
232,15138,8,5,1995,1996,Y,1490,1304,2794,2,1,4,1,9,1,3,810,2009,403000
233,1680,6,5,1972,1972,Y,483,504,987,1,1,2,1,5,1,1,288,2006,94500
234,10650,5,6,1976,1976,Y,894,0,894,1,0,3,1,5,0,1,308,2010,128200
235,7851,6,5,2002,2002,Y,860,1100,1960,2,1,4,1,8,2,2,440,2010,216500
236,1680,6,3,1971,1971,Y,483,504,987,1,1,2,1,5,0,1,264,2008,89500
237,8773,7,5,2004,2004,Y,1414,0,1414,2,0,3,1,6,0,2,494,2010,185500
238,9453,7,7,1993,2003,Y,1014,730,1744,2,1,3,1,7,0,2,457,2010,194500
239,12030,8,5,2007,2007,Y,1694,0,1694,2,0,3,1,7,0,3,818,2007,318000
240,8741,6,4,1945,1950,Y,798,689,1487,1,1,3,1,7,1,1,220,2010,113000
241,9000,8,5,2008,2008,Y,1566,0,1566,2,0,3,1,7,0,2,750,2010,262500
242,3880,5,9,1945,1997,Y,866,0,866,1,0,2,1,4,0,0,0,2007,110500
243,5000,5,4,1900,1950,N,889,551,1440,1,0,3,1,6,0,1,352,2006,79000
244,10762,6,6,1980,1980,Y,626,591,1217,1,1,3,1,6,1,1,288,2009,120000
245,8880,7,5,1994,2002,Y,1222,888,2110,2,1,3,1,8,2,2,463,2010,205000
246,10400,7,5,1988,1988,Y,1872,0,1872,2,0,3,1,6,1,2,604,2006,241500
247,9142,6,8,1910,1950,N,908,1020,1928,2,0,4,2,9,0,1,440,2006,137000
248,11310,6,5,1954,1954,Y,1375,0,1375,1,0,2,1,5,1,2,451,2006,140000
249,11317,7,5,2003,2003,Y,840,828,1668,2,1,3,1,8,0,2,500,2007,180000
250,159000,6,7,1958,2006,Y,1444,700,2144,2,0,4,1,7,2,2,389,2007,277000
251,5350,3,2,1940,1966,Y,1306,0,1306,1,0,3,1,6,0,0,0,2010,76500
252,4750,8,5,2006,2007,Y,1625,0,1625,2,0,2,1,5,1,2,538,2007,235000
253,8366,6,5,2004,2004,Y,798,842,1640,2,1,3,1,6,0,2,520,2008,173000
254,9350,6,7,1964,1991,Y,1302,0,1302,2,0,3,1,7,0,1,309,2007,158000
255,8400,5,6,1957,1957,Y,1314,0,1314,1,0,3,1,5,0,1,294,2010,145000
256,8738,7,5,1999,1999,Y,1005,1286,2291,2,1,4,1,8,1,2,429,2006,230000
257,8791,6,5,2003,2003,Y,864,864,1728,2,1,3,1,7,0,2,673,2008,207500
258,8814,7,5,2006,2006,Y,1604,0,1604,2,1,3,1,8,1,2,660,2009,220000
259,12435,7,5,2001,2001,Y,963,829,1792,2,1,3,1,7,1,2,564,2008,231500
260,12702,5,5,1956,1956,Y,882,0,882,1,0,2,1,4,0,1,308,2008,97000
261,19296,6,5,1962,1962,Y,1382,0,1382,1,0,3,1,6,1,2,884,2009,176000
262,9588,8,5,2007,2007,Y,1482,1092,2574,2,1,3,1,10,1,3,868,2007,276000
263,8471,6,7,1977,1995,Y,1212,0,1212,1,0,3,1,6,1,2,492,2006,151000
264,5500,5,7,1929,2001,Y,926,0,1316,1,0,3,1,6,0,2,484,2010,130000
265,5232,5,5,1925,2004,N,764,0,764,1,0,2,1,4,0,2,504,2008,73000
266,12090,6,6,1981,1981,Y,1422,0,1422,2,0,3,1,7,1,2,576,2008,175500
267,11207,6,5,1997,1997,Y,802,709,1511,2,1,3,1,8,1,2,413,2006,185000
268,8400,5,8,1939,1997,Y,1052,720,2192,2,1,4,1,8,1,1,240,2008,179500
269,6900,5,6,1940,1955,Y,778,0,778,1,0,2,1,4,1,1,924,2008,120500
270,7917,6,7,1976,1976,Y,1113,0,1113,1,1,3,1,6,1,1,504,2007,148000
271,10728,8,5,2006,2006,Y,1095,844,1939,2,1,3,1,8,1,3,1053,2006,266000
272,39104,7,7,1954,2005,Y,1363,0,1363,1,0,2,1,5,2,2,439,2008,241500
273,11764,8,7,1999,2007,Y,1164,1106,2270,2,1,4,1,9,1,3,671,2010,290000
274,9600,6,6,1958,1988,Y,1632,0,1632,2,0,3,1,6,1,1,338,2009,139000
275,8314,5,7,1982,1982,Y,816,0,816,1,0,2,1,5,0,1,264,2007,124500
276,7264,7,7,1925,2007,N,952,596,1548,2,1,3,1,5,0,2,672,2009,205000
277,9196,7,5,2003,2003,Y,1560,0,1560,2,0,3,1,7,0,2,573,2010,201000
278,19138,4,5,1951,1951,Y,864,0,864,1,0,2,1,4,0,2,400,2010,141000
279,14450,9,5,2006,2007,Y,2121,0,2121,2,1,3,1,8,1,3,732,2007,415298
280,10005,7,5,1977,1977,Y,1156,866,2022,2,1,4,1,8,1,2,505,2008,192000
281,11287,7,6,1989,1989,Y,1175,807,1982,2,1,3,1,7,1,2,575,2007,228500
282,7200,6,5,2006,2006,Y,1262,0,1262,2,0,2,1,5,0,2,572,2006,185000
283,5063,7,5,2007,2008,Y,1314,0,1314,2,0,2,1,6,1,2,626,2009,207500
284,9612,8,5,2008,2009,Y,1468,0,1468,2,0,3,1,6,1,3,898,2009,244600
285,8012,6,5,1992,1992,Y,1575,0,1575,2,0,2,1,5,0,2,529,2007,179200
286,4251,7,5,2006,2007,Y,625,625,1250,2,1,2,1,5,0,2,528,2007,164700
287,9786,6,7,1962,1981,Y,1085,649,1734,1,1,3,1,7,1,2,440,2006,159000
288,8125,4,4,1971,1971,Y,858,0,858,1,0,3,1,5,0,0,0,2006,88000
