w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,y
0.45,0,0.75,0,0,0,0,0,0,0.25,0,0.068,1
1.57,0.06,0.12,0,0.24,0,0,0,0.01,0.052,0,0.167,1
0,0,0.99,4.97,0,0,0,0,0,0.34,0,0,1
0.05,0.05,0.74,0.25,0,0,0,0,0,0.065,0,0.756,1
0,0.06,1.12,0.26,0,0,0,0,0.036,0.084,0,0.23,1
1.92,0,0,0,0,0,0,0,0,0,0,0,1
0,0.73,0.36,1.09,2.19,0,0,0,0,0.11,0,0.332,1
0.19,0.38,0,0,0.06,0,0,0,0.04,0.03,0,0.071,1
0,0,0,0,0,0,0,0,0,0.198,0,0.596,1
0,0.73,0.36,1.1,2.2,0,0,0,0,0.111,0,0.333,1
0,0,0,1.08,0,0,0,0,0,0,0,0,1
0,1.04,0,0,0,0,0,0,0.061,0.246,0,0.061,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.45,0,0,0.45,0,0,0,0,0,0,0,0,1
0.42,0,0,0.42,0,0,0,0,0,0.066,0,0,1
0,0.59,0.59,0,0,0,0,0,0,0.257,0,0,1
0.23,0,0,0.23,0,0,0,0,0.043,0.043,0,0,1
1.39,0.93,0,1.39,0,0,0,0,0.069,0,0,0,1
0.68,0.68,0.34,0.34,0,0.34,0,0,0,0,0,0.048,1
1.32,0,0,0,0,0,0.12,0,0,0.059,0,0.019,1
0,0,0.66,1.98,0,0,0,0,0,0,0,0,1
1.46,0.48,0.97,0.48,0.48,0,0.48,0,0,0.073,0,0.294,1
0,1.47,1.47,0,0,0,0,0,0,0,0,0,1
0,0,0.92,2.15,0,0,0,0,0,0.1,0,0.351,1
0,0,0,0,0,0,0,0,0,0.201,0,0.1,1
1.26,2.53,1.26,0,1.26,0,0,0,0,0,0,0,1
0.53,0,0,0.53,0,0,0,0,0,0.087,0,0,1
0.44,0,0,0.44,0,0,0,0,0,0.073,0,0,1
0.46,0.46,0,0.92,0,0,0.46,0,0,0,0,0.223,1
1.44,0.48,0,0.48,0,0,0,0,0,0.081,0,0.243,1
0,0,0.94,2.83,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.165,0,0.082,1
0.18,0,0.31,0.37,0.69,0,0.12,0,0,0.085,0.053,0.234,1
1.67,0.2,1.04,0.83,0,0,0,0.62,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.338,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.23,0.95,0.23,0,0,0,0,0,0.123,0,0,1
0,0,0,2.91,0,0,0,0,0,0.123,0,0,1
1.28,0,0,1.28,0,0,0,0,0,0.181,0,0,1
0,0,0,0,0,0,0,0,0,0.278,0,0,1
1.4,0.46,0.93,1.86,0.46,0,0.46,0,0,0.071,0,0.214,1
1.15,0,0,0.38,0,0,0,0,0,0.122,0,0.061,1
0,0,0,0.79,0,0,0,0,0,0.268,0,0,1
0.4,0,0.06,0.2,0.13,0,0,0,0.021,0.107,0,0.085,1
0,0,0,0,0,0,0,0,0,1.153,0,0,1
2.24,1.12,0,0.56,0,0,0,0,0,0.25,0,0.333,1
0.05,0.05,0.76,0.26,0,0,0,0,0.004,0.066,0,0.764,1
0.14,0.03,0.67,0.22,0,0,0,0,0,0.075,0,0.532,1
0.14,0.03,0.67,0.22,0,0,0,0,0,0.075,0,0.531,1
0,0,0,0,0,0,0.46,0,0,0.494,0,0.823,1
0,0.46,0,0,0,0,0,0,0,0,0,0,1
0.35,0,0,1.05,0,0,0,0,0,0.122,0,0,1
0.43,0,0,0.43,0,0,0,0,0,0.147,0,0,1
0,0,1.21,0.6,0,0,0,0,0.207,0.518,0.414,0,1
0,0,0,0.41,0,0,0,0,0,0.065,0,0.527,1
4.25,0.7,0,2.83,0,0,0,0,0,0,0,0,1
0,0,0,0.64,0,0,0,0,0.094,0.189,0.284,0,1
0,0,0,0,0,0,0,0,0.305,0.611,0,0,1
0,0,0,0.64,0,0,0,0,0.094,0.189,0.284,0,1
0,0,0,0,0,0,0,0,0.305,0.611,0,0,1
0,0,0,0.64,0,0,0,0,0.094,0.189,0.284,0,1
0,0,0,0,0,0,0,0,0.305,0.611,0,0,1
0,0,0,0.79,0,0,0,0,0.115,0.231,0.347,0,1
0,0,0,0,0,0,0,0,0.305,0.611,0,0,1
0,1.96,1.96,0,0,0,0,0,0,0,0,0,1
0,2.46,0,2.46,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.147,0,0,1
0.38,0.76,0,0,0,0,0,0,0,0,0,0.177,1
0.95,0,0,0,0,0,0,0,0,0.365,0,0,1
0.88,0.12,3.9,0.25,0.25,0,0,0,0.019,0.379,0.159,0.119,1
0.51,0,0,0.51,0,0,0,0,0,0.09,0,0,1
0.1,0,0,0,0.3,0.05,0,0,0,0.045,0,0.118,1
0.1,0,0,0,0.3,0.05,0,0,0,0.036,0,0.118,1
1.28,2.56,1.28,0,1.28,0,0,0,0,0,0,0,1
2.23,1.11,0,0.55,0,0,0,0,0,0.248,0,0.331,1
0.1,0,0,0,0.3,0.05,0,0,0,0.045,0,0.118,1
0.1,0,0,0,0.3,0.05,0,0,0,0.036,0,0.118,1
0.15,0,0.65,0.23,0,0,0,0,0.011,0.077,0,1.281,1
0.32,0.16,0.48,0.16,0.16,0,0,0,0,0,0,0.024,1
0.92,0.3,0,0,0,0,0,0,0.046,0,0,0.322,1
0.33,0.33,0.5,0,1.68,0,0.16,0,0,0.19,0,0.054,1
1.51,0,0,0,0,0,0,0,0,0.089,0,0.178,1
0,0.59,0,0,0,0,0,0,0,0,0,0,1
1.6,0.4,0.4,0,0,0,0,0,0,0,0,0.212,1
0,0,0,0.41,0,0,0,0,0,0,0,0.149,1
0.76,0.38,1.14,0.38,0,0,0,0,0,0.299,0,0.179,1
0.4,0.4,0,0.4,0,0,0,0,0,0,0,0,1
0.56,0,0.56,0.56,0,0,0,0,0,0.101,0,0,1
1.44,0.16,0,0,0,0,0,0,0,0.024,0,0.174,1
0,0,0,0,0,0,0,0,0,0.215,0,0.431,1
0.19,0,0,0.98,0,0,0.19,0,0,0.128,0,0.16,1
0.19,0,0,0.98,0,0,0.19,0,0,0.128,0,0.16,1
0.66,0,0,0.66,0,0,0,0,0,0.06,0,0.541,1
1.49,0,0,2.98,0,1.49,0,0,0,0,0,0,1
1.65,0,0,0.82,0,0,0,0,0,0.415,0,0,1
0.66,0,0,0.66,0,0,0,0,0,0.06,0,0.541,1
0,1.58,0,0,0,0,0,0,0,0,0,0.279,1
0.15,0,0.65,0.23,0,0,0,0,0.011,0.077,0,1.281,1
0,1.58,0,0,0,0,0,0,0,0,0,0.279,1
0,0,0,2.77,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.215,0,0.431,1
0.66,0,0,0.66,0,0,0,0,0,0.06,0,0.541,1
0.29,0.14,0.43,0.14,0.14,0,0.14,0,0,0,0,0.023,1
0,0,0,0,0,0,0,0,0.063,0.126,0,0.126,1
0.81,0,0.81,0.81,1.35,0,0,0,0,0.04,0,0.121,1
0,0,0,0,0,0,0,0,0,0,0,0,1
2.25,1.12,0,0.56,0,0,0,0,0,0.247,0,0.33,1
2.7,0,0,0,0,0,0,0,0,0,0,0,1
0.62,0,0.62,0.62,0,0,0,0,0,0.105,0,0,1
0.33,0,0.33,0.33,0,0,0,0,0,0.06,0,0,1
0,0,0,4.76,0,0,0,0,0,0,0,0,1
1.31,1.31,1.31,0,1.31,0,0,0,0,0,0,0.117,1
1.36,0.45,0,0.45,0,0,0,0,0,0.135,0,0,1
0.85,0,0.42,0,0,0,0,0,0,0,0,0,1
0.27,0,0.83,0,0,0,0,0,0,0,0.092,0.185,1
0.43,0,0.65,0.43,0,0.21,0,0,0,0,0.073,0.146,1
0,0,0,0,0,0,0.46,0,0,0.49,0,0.816,1
0.29,0,0,0.87,0,0,0,0,0,0.024,0,0,1
0,0.34,0.34,0.68,0,0,0,0,0,0.094,0,0,1
0,0,0,0,0,0,0.46,0,0,0.49,0,0.816,1
0,0.62,0,0,0,0,0,0,0,0.31,0,0,1
2.1,1.05,0,0,0,0,0,0,0,0,0,0,1
0.35,0,0,0.35,0,0,0,0,0,0.058,0,0,1
0.3,0.15,0.45,0.15,0.15,0,0.15,0,0,0,0,0.024,1
0,0.57,0.57,0,0,0,0,0,0,0,0,0,1
0.26,0.26,0,0.79,0,0,0,0,0,0.656,0,0,1
0.42,0.08,0.08,0,0,0,0,0,0,0.081,0.027,0.013,1
0.5,0,0.5,0.5,0,0,0,0,0,0.357,0,0,1
0.54,0,0.54,0.54,0,0,0,0,0,0.096,0,0,1
0,0,0.78,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,18.18,0,0,0,0,0,0,0,1
0.89,0,0.44,0.44,0,0,0,0,0,0,0,0.145,1
0.33,0,0,0.33,0,0,0,0,0,0.053,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.08,0.08,1.46,0.08,0,0,0,0,0,0.048,0,0.258,1
0.08,0.08,1.47,0.08,0,0,0,0,0,0.048,0,0.259,1
0.87,0,0.43,0,0,0,0,0,0,0,0,0,1
0.89,0,0.44,0.44,0,0,0,0,0,0,0,0.144,1
0,0,0.36,0,0,0,0,0,0,0.059,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.11,0,0,0.05,0.35,0,0,0,0,0.064,0.01,0.14,1
6.25,3.12,0,3.12,0,0,0,0,0,0,0,0,1
0.53,0,1.59,1.59,0,0,0,0,0,0.467,0,0.186,1
1.4,0.93,0,0.46,0,0,0,0,0,0.135,0,0,1
0.56,1.12,0,2.25,0,0,0,0,0,0,0,0,1
0.66,0,0,0,2.64,0,0.66,0,0,0,0,0.069,1
0.8,0,0.8,1.61,0,0,0,0,0,0,0,0,1
0.29,0.14,0.43,0.14,0.14,0,0.14,0,0,0,0,0.046,1
0.42,0.08,0.08,0,0,0,0,0,0,0.081,0.027,0.013,1
0,0,0.81,0,0,0,0,0,0.147,0,0,0.147,1
0.54,1.08,0,0.54,0,0,0,0,0,0,0,0.252,1
0.42,0.08,0.08,0,0,0,0,0,0,0.081,0.027,0.013,1
0.53,1.07,0,0.53,0,0,0,0,0,0,0,0.253,1
0,0.51,0.51,2.07,0,0,0,0,0,0.135,0,0,1
2.19,1.09,0,0.54,0,0,0,0,0,0.241,0,0.321,1
1.15,0,0.77,0.38,0,0,0,0,0,0.061,0,0.184,1
1.17,0,0.78,0.39,0,0,0,0,0,0.062,0,0.186,1
0.43,0.86,0,0,0,0,0,0,0.14,0,0,0,1
0.68,0,0.22,0,0,0,0.91,0,0,0.037,0,0.112,1
0.56,0,0.56,0.56,0,0,0,0,0,0.102,0,0,1
0.55,0,0.55,0.55,0,0,0,0,0,0.099,0,0,1
0.65,0,0,0,1.97,0,0.65,0,0,0,0,0.068,1
0,0.61,0,0,0,0,0,0,0,0.176,0,0,1
1.77,0.44,2.88,0.44,0,0,0.44,0,0,0,0,0.15,1
0.08,0.08,1.63,0.08,0,0,0,0,0,0.063,0,0.223,1
0,1.04,0,2.08,0,0,0,0,0,0,0,0,1
0,1.33,0,0,0,0,0,0,0,0,0,1.417,1
0.54,1.08,0,0.54,0,0,0,0,0,0,0,0.253,1
2.5,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.9,0,0,0,0,0,0,0,0.165,1
0.25,0,0,0.05,0,0,0.02,0,0.011,0.022,0,0.022,1
0.25,0,0,0.05,0,0,0.02,0,0.011,0.022,0,0.022,1
0.35,0.53,0.8,0.62,0.17,0,0.08,0,0,0.066,0,0.185,1
0.96,0,0,0.96,0,0,0,0,0,0.133,0.066,0.267,1
0,0,0,0,0,0,0.46,0,0,0.49,0,0.816,1
1.03,0.68,0.68,0.68,0,0,0,0,0,0,0,0.061,1
0.18,0,0.36,0.72,0.18,0,0,0,0,0,0,0.063,1
0.39,0.39,0.26,1.57,0,0,0,0,0,0.129,0,0.021,1
0.65,0.32,0,0.32,0,0,0,0,0,0.104,0,0.157,1
0.64,0.32,0,0.32,0,0,0,0,0,0.106,0,0.159,1
0.19,0,0,0.59,0,0,0,0,0,0,0,0.032,1
0.69,0,0.23,0,0,0,0.92,0,0,0.037,0,0.112,1
0.71,0,0,0.71,0,0,0,0,0,0.121,0,0,1
0,2.98,1.49,1.49,0,0,0,0,0,0.171,0,0.171,1
0.33,0.16,0,0.5,0,0.33,0,0,0,0.088,0,0.752,1
0.55,0,0.55,0.55,0,0,0,0,0,0.097,0,0,1
0.32,0.16,0.49,0.16,0.16,0,0.16,0,0,0,0,0.08,1
1.81,0,0.36,0,0,0,0,0,0.053,0.265,0,0,1
0,1.69,0.84,10.16,0,0,0,0,0,0,0,0.278,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.43,0.08,0.08,0,0,0,0,0,0,0.081,0.027,0.013,1
1.09,2.18,0.54,0,0,0,0,0,0,0.157,0,0,1
0,0,0,0.85,0,0,0,0,0,0.082,0,0.082,1
0,0,0,1.05,0,0,0,0,0,0,0,0,1
0.22,0,0.45,0.22,0,0,0,0,0.064,0.258,0,0.193,1
1.11,2.23,0.55,0,0,0,0,0,0,0.159,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.65,0.32,0,0.32,0,0,0,0,0,0.105,0,0.158,1
0.71,0,0.71,0,0,0,0,0,0,0,0,0,1
1.11,2.23,0.55,0,0,0,0,0,0,0.159,0,0,1
0,1.07,0,2.15,0,0,1.07,0,0,0,0,0.437,1
0.95,0,0,0.95,0,0,0,0,0,0.131,0.065,0.263,1
0.31,0.15,0.15,1.11,0,0.95,0.15,0,0,0.088,0,0.707,1
0,0,0,0,0,3.58,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.829,0,0.829,1
1.38,0.08,0.08,0.48,0,0,0,0,0,0.085,0.061,0.097,1
0.27,0,0.97,1.11,0,0,0.06,0,0,0.105,0,0.305,1
0.27,0,0.97,1.11,0,0,0.06,0,0,0.105,0,0.305,1
0,0,0,4,0,0,0,0,0,0,0,0,1
0.71,0,0.71,0,0,0,0,0,0,0,0,0,1
1.6,0,0,0.8,0,0,0,0,0,0,0,0.347,1
0.99,0.33,0,0.33,0,0,0,0,0,0.108,0,0.162,1
0.51,0.07,0.37,0,0,0,0,0,0.049,0.069,0,0.159,1
0.99,0.33,0,0.33,0,0,0,0,0,0.107,0,0.161,1
0.31,0.15,0.15,1.11,0,0.95,0.15,0,0,0.088,0,0.707,1
1.24,0,0,0.31,0,0,0,0,0,0.086,0,0,1
0.34,0.17,0.51,0.17,0.17,0,0.17,0,0,0,0,0.083,1
0,0,0,0.79,0,0,0,0,0,0.271,0,0.135,1
0,0,0.29,0.14,0.14,0,0,0,0,0.204,0,0.127,1
1.11,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.25,0,0,0,0,0,0,0,0.203,1
2.33,1.16,0,0.58,1.16,0,0,0,0,0.27,0,0.09,1
0,0,0.29,0.14,0.14,0,0,0,0,0.204,0,0.127,1
0,0,0.29,0.14,0.14,0,0,0,0,0.204,0,0.127,1
1.17,0.58,0,0.58,0,0,0,0,0,0,0,0,1
0.75,0,0.75,0,0,0,0,0,0,0.082,0,0.124,1
6.25,3.12,0,0,0,0,0,0,0,0,0,0,1
1.14,2.28,0.57,0,0,0,0,0,0,0.081,0,0,1
0,0.17,0.17,0,0,0,0,0,0.028,0.143,0.028,0.057,1
0.95,0,0,0.95,0,0,0,0,0,0.133,0.066,0.267,1
1.14,2.28,0.57,0,0,0,0,0,0,0.081,0,0,1
0.34,0.17,0.51,0.17,0.17,0,0,0,0,0,0,0,1
1.14,2.28,0.57,0,0,0,0,0,0,0.081,0,0,1
0,3.27,0,1.63,0,0,0,0,0,0.36,0,0.18,1
0.29,0.14,0,0.87,0,0,0,0,0,0.08,0,0.784,1
0.38,0.19,0.57,0.19,0.19,0,0.19,0,0,0,0,0.03,1
0.2,0.2,0.2,0.4,1.81,0,0,0,0,0.096,0,0.129,1
0,0,0,0,0,0,0,0,0,0.132,0,0,1
0.3,0.15,0,0.92,0,0,0,0,0,0.083,0,0.753,1
0.52,0,0,0.52,0,0,0,0,0,0.192,0,0,1
0.42,0,0,0.42,0,0,0,0,0,0.159,0,0,1
1.57,0.06,0.12,0,0.24,0,0,0,0.01,0.052,0,0.167,1
0.2,0.2,0.31,0.1,0.93,0.1,0.1,0,0,0.163,0,0.065,1
0,5.4,0,5.4,0,0,0,0,0,0,0,0.21,1
0.53,0.17,0.53,0,1.61,0,0.17,0,0,0.115,0,0.057,1
1.46,0.08,0.08,0.51,0,0,0,0,0,0.077,0.064,0.103,1
1.15,0.23,0.46,0,0,0,0,0,0,0.036,0.036,0.036,1
0.78,0,0.19,0,0,0,0,0,0,0.032,0,0.032,1
0,0,0,1.05,1.05,0,0,0,0,0,0,0.263,1
0.64,0.32,0,0.32,0,0,0,0,0,0.105,0,0.157,1
1.63,0,0,0.54,0,0,0,0,0,0,0,0.318,1
0,0,0,1.63,0,0,0,0,0,0,0,0.253,1
0,0,0.75,0,0,0,0,0,0,0.08,0,0.107,1
0.35,0.35,0,0.7,2.82,0,0,0,0,0,0,0,1
1.03,2.41,1.72,0,0,0,0,0,0,0.116,0,0,1
0,0,0.75,0,0,0,0,0,0,0.08,0,0.107,1
1.28,0.64,0,0.64,0,0,0,0,0,0,0,0.459,1
0.65,0.32,0,0.32,0,0,0,0,0,0.106,0,0.159,1
1.28,0.64,0,0.64,0,0,0,0,0,0,0,0.369,1
0,0,1.32,0.18,0,0,0,0,0,0.14,0,0.07,1
0,0,0,0,0,0,0,0,0,0.133,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
1.29,0.43,0,0.43,0,0,0,0,0,0.129,0,0,1
0.43,0,0,0.43,0,0,0,0,0,0.161,0,0,1
0.34,0,0,0.34,0,0,0,0,0,0.055,0,0,1
0.16,0.16,0.16,1.64,0,0,0.16,0,0,0.066,0,0.663,1
1.57,0.06,0.12,0,0.24,0,0,0,0.01,0.052,0,0.167,1
0.58,0.11,0,0.46,0,0,0,0,0.075,0.037,0,0.094,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.91,0.91,0.91,0,0,0,0,0,0,0.134,0,0.269,1
0,0,0,0,0,0,0,0,0,0,0,0.199,1
0,0,0.75,0,0,0,0,0,0,0.08,0,0.107,1
0,0,0.75,0,0,0,0,0,0,0.08,0,0.107,1
0.65,0.32,0,0.32,0,0,0,0,0,0.105,0,0.157,1
0,0,0.67,0,0,0,0,0,0.17,0.511,0.085,0,1
0.31,0,0,0.31,0,0,0,0,0,0.05,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.67,0,0,0,0,0,0.17,0.511,0.085,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.17,0.17,0.17,1.74,0,0.17,0.17,0,0,0.072,0,0.681,1
2,1,0,0,0,0,0,0,0,0,0,0.137,1
0,0,0,1.05,0,0,0,0,0,0.351,0,0.175,1
0.32,0.16,0.16,2.13,0,0.49,0.16,0,0,0.089,0,0.67,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.201,1
0,0,0,1.28,0,0,0,0,0,0,0,0.23,1
0,0.94,0,0,0,0,0,0,0,0.072,0,0,1
0.51,0,0,0,0,0,0,0,0,0.041,0,0.209,1
0.36,0,0,0.36,0,0,0.36,0,0,0,0,0.181,1
1.93,0,0,1.29,0,0,0,0,0,0,0,0.37,1
0,0,0.43,0.43,0,0,0,0,0,0.124,0,0.062,1
0,0,0,1.28,0,0,0,0,0,0,0,0.23,1
0,0.6,0,0,0,0,0,0,0,0.095,0,0,1
0.65,0.32,0,0.32,0,0,0,0,0,0.106,0,0.159,1
0,0,0,0,0,0,0,0,0,0,0,0.198,1
0,0,0,1.28,0,0,0,0,0,0,0,0.23,1
1.27,0.63,0,0.63,0,0,0,0,0.1,0,0,0.3,1
1.3,0,0,1.3,0,0,0,0,0,0,0,0.463,1
1.16,0,0.38,0,0.38,0.19,0,0,0,0.07,0,1.121,1
0,0,0.43,0.43,0,0,0,0,0,0.124,0,0.062,1
0.16,0,0,0.08,0.16,0,0,0,0,0.228,0,0.038,1
1.93,0,0,1.29,0,0,0,0,0,0,0,0.37,1
0,0,0.43,0.43,0,0,0,0,0,0.124,0,0.062,1
0.36,0,0,0.36,0,0,0.36,0,0,0,0,0.181,1
0,0,0,0,0,2.06,0,0,0,0.342,0,0,1
0,0,0,1.28,0,0,0,0,0,0,0,0.23,1
0.65,0.32,0,0.32,0,0,0,0,0,0.105,0,0.158,1
1.57,0.06,0.12,0,0.24,0,0,0,0.01,0.052,0,0.167,1
0,0,0,0,0,0,0,0,0,0,0,0.201,1
0,0.45,0.91,0,0,0,0,0,0,0.254,0,0.127,1
0,1.16,0,4.65,0,0,0,0,0,0,0,0,1
0,1.25,0,6.25,0,0,0,0,0,0,0,0,1
0.02,0,0.35,0.05,0.2,0.02,0,0,0,0.004,0,0.017,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0.48,0,0,0.48,0,0,0,0,0,0.09,0,0,1
0.23,0,0.23,0.23,0.23,0,0,0,0,0.109,0,0.036,1
0.65,0.32,0,0.32,0,0,0,0,0,0.105,0,0.158,1
7.69,0,0,0,0,0,0,0,0,0.588,0,0,1
0.23,0,0.23,0.23,0.23,0,0,0,0,0.109,0,0.036,1
0,1,0,0,0,0,0,0,0,0,0,0,1
0.23,0.05,0,0.76,0.29,0,0,0,0.009,0.129,0,0.259,1
0.64,0.32,0,0.32,0,0,0,0,0,0.104,0,0.157,1
0.67,0,0,0,0,0,0,0,0,0,0,0.11,1
0.02,0,0.35,0.05,0.2,0.02,0,0,0,0.004,0,0.017,1
0.67,0,0.67,0,0,0,0,0,0,0,0,0.114,1
0,0,0,0.2,0,0,0,0,0,0,0,0.338,1
1.22,0,0,0.61,0,0,0,0,0,0,0,0.103,1
1.48,1.48,0.74,0.74,0,0,0,0,0,0,0,0,1
0.45,0,0,0,0,0,0,0,0,0,0.076,0,1
0.15,0,0.66,0.23,0,0,0,0,0.005,0.088,0,0.479,1
0.7,0.35,0.35,0.7,0,0,0,0,0,0.113,0,0,1
1.21,0,0,2.43,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0.199,1
1.44,0,1.32,0.6,0,0,0,0,0,0.04,0,0.202,1
1.78,0,0,0,0.89,0,0,0,0.078,0.078,0,0,1
0.85,0.25,0.08,0.25,0.17,0,0.08,0.08,0,0.063,0,0.114,1
0.46,0,0,0.46,0,0,0,0,0,0.082,0,0,1
0.14,0.14,0.14,0.86,0,0,0,0,0,0.06,0,0.745,1
1.59,0,0.06,0,0.24,0,0,0,0.01,0.052,0,0.169,1
1.59,0,0.06,0,0.24,0,0,0,0.01,0.052,0,0.169,1
0.19,0,0.31,0.38,0.69,0,0.12,0,0,0.085,0.053,0.236,1
1.52,0.08,0.17,0.53,0,0,0,0,0,0.054,0.068,0.109,1
1.52,0,0,0.08,0.16,0,0.16,0.08,0.012,0.101,0,0.101,1
0.48,0.48,0.96,0,0,0,0,0,0,0.163,0,0,1
0,0,0,0,0,0,0,0,0,0.578,0,0,1
0.59,0,0,0,0,0,0.59,0,0,0.105,0,0.42,1
1.21,0.6,0,0,0,0,0,0,0,0,0,0.304,1
0.19,0,0.31,0.38,0.69,0,0.12,0,0,0.085,0.053,0.235,1
0,0,0,0,0,0,0,0,0,0.163,0,0.326,1
0.33,0.33,0,1.65,0,0,0,0,0,0,0.161,0,1
0,0.67,0,0,0,0,0,0,0,0.095,0,0,1
0.46,0,1.74,0,0,0,0.11,0,0.019,0.172,0,0.134,1
1.55,0,0.31,0.31,0,0,0,0,0,0.048,0,0,1
0.96,0.96,0,0,0,0,0,0,0,0.123,0,0,1
1.05,0.7,0.35,0.7,0,0,0,0,0,0,0,0.061,1
0.55,0,0,0.55,0,0,0,0,0,0.104,0,0,1
0.29,0,0,0,0,0,0.29,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.13,0,0,1
1.52,0.08,0.17,0.53,0,0,0,0,0,0.054,0.068,0.109,1
3.48,0,0,1.74,0,0,0,0,0,0.082,0,0.082,1
0.1,0,0.1,0.37,0,0,0,0,0.014,0.078,0,0.019,1
0.84,0,0,0,0,0,0,0,0,0.488,0,0.683,1
0.25,0.25,0,0.25,0,0,0,0,0.044,0,0.132,0,1
0.85,0.25,0.08,0.25,0.17,0,0.08,0.08,0,0.063,0,0.114,1
0.24,0.12,0.36,0.12,0.12,0,0.12,0,0,0.018,0,0,1
0.87,0,0,0.43,0,0,0,0,0,0.072,0,0.216,1
0,0,0.29,0,0.14,0,0,0,0,0.204,0,0.153,1
