w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,y
5,5,223.16,Y,1867,0,1,0,2,1,3,1,303,16,3816
8,5,220.24,Y,1610,551,1,1,3,1,1,3,789,0,6528.48
7,5,173.88,Y,840,880,2,1,3,1,1,2,440,3,3686
8,6,342.38,Y,1707,0,2,1,2,1,1,2,511,25,4576
5,6,256.16,Y,854,0,1,1,2,1,0,2,660,57,2586
6,5,644.4,Y,1656,0,1,0,3,1,2,2,528,50,4316
7,7,115.12,Y,1064,703,2,0,2,1,1,2,504,19,4796
6,5,212.94,Y,1362,0,1,1,3,1,1,2,504,47,3276
6,5,257.32,Y,1651,0,2,0,3,1,1,2,616,22,3696
6,7,261.3,Y,2158,0,2,0,4,1,1,2,576,6,4876
6,5,209.58,Y,1164,896,2,1,4,1,1,2,521,18,4236
5,5,282,Y,1252,668,2,0,4,1,1,2,451,48,3466
9,5,357.46,Y,2234,0,2,0,1,1,1,3,1166,0,10052.74
5,6,179.4,Y,968,0,1,0,2,1,0,2,480,1,2016
6,5,51.34,Y,769,756,2,1,3,1,1,2,440,7,3556
7,6,160.76,Y,901,901,1,1,4,1,1,1,216,56,4018
5,6,190.2,Y,1340,0,1,0,3,1,1,1,252,1,2416
7,5,237.52,Y,1362,720,2,1,3,1,0,2,484,5,4016
5,8,157.76,Y,936,316,1,0,3,1,0,2,576,15,2556
10,9,468,Y,1518,1518,2,1,4,1,2,3,840,13,9516
7,5,207.94,Y,1217,0,2,0,3,1,0,2,497,18,3476
5,7,217.2,Y,808,704,2,1,3,1,0,1,180,22,2716
5,5,149.36,Y,1224,0,0,2,2,2,2,2,528,30,3082.74
8,5,107.46,Y,1593,0,1,1,0,1,1,2,682,6,5736
8,8,220.4,Y,1549,1178,2,1,3,1,2,2,440,13,6316
7,9,158.44,Y,725,754,1,1,4,1,0,2,484,3,3696
7,5,189.34,Y,1431,0,2,0,3,1,0,2,666,10,3856
7,5,59.44,Y,970,739,2,0,3,1,0,2,380,2,2616
5,7,152.6,Y,864,0,1,0,3,1,0,1,352,36,2556
6,6,54.6,Y,855,601,2,1,3,1,1,2,440,33,2986
7,5,197.32,Y,1726,0,2,0,3,1,1,3,786,0,6253.44
8,4,517.38,Y,1360,1360,2,0,4,1,1,2,795,16,4716
6,6,119.4,Y,929,929,1,0,5,1,0,0,0,59,2096
8,5,200.82,Y,1713,0,2,0,3,1,1,3,856,4,5514
4,5,179.92,Y,1121,0,2,0,2,1,0,2,440,6,2816
6,6,211.5,Y,1279,0,2,0,3,1,2,2,473,31,3446
6,6,149,Y,865,445,2,0,2,1,0,1,398,56,2256
6,5,97.76,Y,848,0,1,0,1,1,1,2,420,4,2996
5,7,79,Y,720,564,1,1,2,1,0,1,240,59,2216
7,5,246.02,Y,1442,0,2,0,3,1,0,2,500,19,3626
5,5,282.46,Y,1696,0,1,1,3,1,1,1,349,45,2894
4,5,258.86,Y,1100,0,1,0,3,1,1,1,312,48,2836
7,5,296.28,Y,1180,882,2,1,3,1,1,2,454,18,5556
6,7,174,Y,1092,0,1,0,3,1,0,2,504,44,2916
5,6,121.08,N,864,0,1,0,2,1,0,0,0,58,1976
6,5,217.4,Y,1212,0,2,0,3,1,0,2,460,1,3736
7,5,181.8,Y,932,920,2,1,3,1,1,2,644,0,5069.56
5,5,280.36,Y,990,0,1,0,3,1,0,2,576,11,3136
6,7,227,Y,689,703,1,1,3,1,0,1,299,33,3251
5,6,209.22,Y,1236,0,1,0,2,1,1,1,447,10,2705
7,5,178,Y,1436,0,2,0,3,1,0,2,484,4,4216
4,4,207.12,N,810,518,1,0,3,1,0,1,210,56,2156
7,9,322.2,Y,1137,817,1,1,3,1,2,2,431,2,6246
7,5,69.2,Y,1248,0,2,0,2,1,0,2,438,0,3360.8
7,5,188.8,Y,1498,0,2,0,2,1,0,2,675,0,4114
6,5,170.36,Y,1010,1257,2,1,4,1,1,2,390,7,4016
6,6,238.5,Y,811,741,2,1,3,1,1,2,434,31,3614
4,6,219,Y,864,0,1,0,2,1,0,2,576,38,1956
10,5,278.44,Y,2392,0,2,0,3,1,1,3,968,6,7741
5,5,42.6,Y,630,672,2,1,3,1,0,1,280,38,2256
7,5,208,Y,1214,1306,2,1,4,1,1,3,721,12,5816
6,6,46.38,Y,483,504,1,1,2,1,0,1,280,38,2136
5,5,179.42,Y,912,0,1,0,3,1,1,1,336,43,2516
7,5,72.64,Y,1555,0,2,0,2,1,1,2,430,3,3866
6,6,184.2,Y,1194,0,1,0,3,1,0,1,312,51,2976
8,5,311.76,Y,1490,1304,2,1,4,1,1,3,810,13,8076
6,5,42.6,Y,483,504,1,1,2,1,1,1,288,34,1906
5,6,222,Y,894,0,1,0,3,1,0,1,308,34,2580
6,5,166.02,Y,860,1100,2,1,4,1,2,2,440,8,4346
6,3,42.6,Y,483,504,1,1,2,1,0,1,264,37,1806
7,5,184.46,Y,1414,0,2,0,3,1,0,2,494,6,3726
7,7,198.06,Y,1014,730,2,1,3,1,0,2,457,7,3906
8,5,249.6,Y,1694,0,2,0,3,1,0,3,818,0,6376
6,4,183.82,Y,798,689,1,1,3,1,1,1,220,60,2276
8,5,189,Y,1566,0,2,0,3,1,0,2,750,2,5266
5,9,86.6,Y,866,0,1,0,2,1,0,0,0,10,2226
5,4,109,N,889,551,1,0,3,1,0,1,352,56,1596
6,6,224.24,Y,626,591,1,1,3,1,1,1,288,29,2416
7,5,186.6,Y,1222,888,2,1,3,1,2,2,463,8,4116
7,5,217,Y,1872,0,2,0,3,1,1,2,604,18,4846
6,8,191.84,N,908,1020,2,0,4,2,0,1,440,56,2756
6,5,235.2,Y,1375,0,1,0,2,1,1,2,451,52,2816
7,5,235.34,Y,840,828,2,1,3,1,0,2,500,4,3616
6,7,3189,Y,1444,700,2,0,4,1,2,2,389,1,5556
3,2,116,Y,1306,0,1,0,3,1,0,0,0,44,1546
8,5,104,Y,1625,0,2,0,2,1,1,2,538,0,4716
6,5,176.32,Y,798,842,2,1,3,1,0,2,520,4,3476
6,7,196,Y,1302,0,2,0,3,1,0,1,309,16,3176
5,6,177,Y,1314,0,1,0,3,1,0,1,294,53,2916
7,5,183.76,Y,1005,1286,2,1,4,1,1,2,429,7,4616
6,5,184.82,Y,864,864,2,1,3,1,0,2,673,5,4166
7,5,185.28,Y,1604,0,2,1,3,1,1,2,660,3,4416
7,5,257.7,Y,963,829,2,1,3,1,1,2,564,7,4646
5,5,263.04,Y,882,0,1,0,2,1,0,1,308,52,1956
6,5,394.92,Y,1382,0,1,0,3,1,1,2,884,47,3536
8,5,200.76,Y,1482,1092,2,1,3,1,1,3,868,0,5536
6,7,178.42,Y,1212,0,1,0,3,1,1,2,492,11,3036
5,7,119,Y,926,0,1,0,3,1,0,2,484,9,2616
5,5,113.64,N,764,0,1,0,2,1,0,2,504,4,1476
6,6,250.8,Y,1422,0,2,0,3,1,1,2,576,27,3526
6,5,233.14,Y,802,709,2,1,3,1,1,2,413,9,3716
5,8,177,Y,1052,720,2,1,4,1,1,1,240,11,3606
5,6,147,Y,778,0,1,0,2,1,1,1,924,53,2426
6,7,167.34,Y,1113,0,1,1,3,1,1,1,504,31,2976
8,5,223.56,Y,1095,844,2,1,3,1,1,3,1053,0,5336
7,7,791.08,Y,1363,0,1,0,2,1,2,2,439,3,4846
8,7,244.28,Y,1164,1106,2,1,4,1,1,3,671,3,5816
6,6,201,Y,1632,0,2,0,3,1,1,1,338,21,2796
5,7,175.28,Y,816,0,1,0,2,1,0,1,264,25,2506
7,7,154.28,N,952,596,2,1,3,1,0,2,672,2,4116
7,5,192.92,Y,1560,0,2,0,3,1,0,2,573,7,4036
4,5,391.76,Y,864,0,1,0,2,1,0,2,400,59,2836
9,5,298,Y,2121,0,2,1,3,1,1,3,732,0,8321.96
7,5,209.1,Y,1156,866,2,1,4,1,1,2,505,31,3856
7,6,234.74,Y,1175,807,2,1,3,1,1,2,575,18,4586
6,5,153,Y,1262,0,2,0,2,1,0,2,572,0,3716
7,5,110.26,Y,1314,0,2,0,2,1,1,2,626,1,4166
8,5,201.24,Y,1468,0,2,0,3,1,1,3,898,0,4908
6,5,169.24,Y,1575,0,2,0,2,1,0,2,529,15,3600
7,5,94.02,Y,625,625,2,1,2,1,0,2,528,0,3310
6,7,204.72,Y,1085,649,1,1,3,1,1,2,440,25,3196
4,4,171.5,Y,858,0,1,0,3,1,0,0,0,35,1776
5,5,205.38,Y,900,0,1,0,3,1,0,1,280,43,2456
6,7,183.6,Y,698,698,1,0,3,1,0,1,384,4,3087.5
8,5,321.22,Y,1079,840,2,1,3,1,1,2,685,0,4680.6
5,6,122.74,N,936,780,2,0,6,1,0,0,0,8,2734
5,4,237.18,Y,1148,568,1,1,3,1,1,1,281,1,2636
7,7,342.18,Y,1468,795,2,1,3,1,1,2,539,12,4716
6,5,201,Y,1644,0,1,0,3,1,2,2,418,56,3356
6,6,167.74,Y,1003,0,1,0,3,1,0,2,588,22,2866
5,5,283.2,Y,910,648,1,1,4,1,0,1,282,57,3056
7,5,156.98,Y,975,975,2,1,3,1,1,2,576,9,4796
6,6,243,Y,1041,702,1,2,3,1,1,2,539,39,3516
6,8,289,Y,1152,0,1,0,3,1,1,1,300,5,3186
5,5,324,Y,1336,0,1,0,2,1,2,1,375,53,3156
8,5,333.52,Y,1210,1242,2,1,4,1,1,2,683,8,5356
7,5,283.08,Y,1541,0,2,0,3,1,1,3,843,4,4116
5,7,205,Y,894,0,1,0,3,1,0,2,552,34,3014
7,9,376.72,Y,1675,1818,3,0,3,1,1,3,870,6,5916
8,5,216.72,Y,2000,0,2,0,3,1,0,3,888,2,6134
7,5,278.48,Y,1122,1121,2,1,4,1,1,3,746,16,4516
6,7,167.4,Y,1035,371,1,0,3,1,0,0,0,58,1806
4,5,255.84,Y,861,0,1,0,1,1,0,2,539,59,1666
9,5,256.56,Y,1944,0,2,0,3,1,3,3,708,2,7216
6,5,162.7,Y,697,804,2,1,3,1,1,2,420,12,3328
6,6,169,Y,972,0,1,0,2,1,1,1,240,7,2656
5,7,165,Y,793,325,1,0,3,1,1,2,410,56,2414
7,5,4313.9,Y,2036,0,2,0,3,1,2,2,513,44,7516
7,7,201,Y,832,809,1,1,3,1,1,2,546,16,3576
7,5,164.9,Y,716,716,2,1,3,1,1,2,432,4,3786
7,7,269.1,Y,1153,1200,2,1,4,1,1,2,484,29,5216
8,5,189,Y,1088,871,2,1,3,1,1,3,1025,1,5416
7,5,207,Y,1372,1274,2,1,4,1,1,3,656,16,5216
7,5,291.3,Y,1472,0,2,0,3,1,2,2,588,29,3766
9,5,334.18,Y,1249,1347,3,1,4,1,0,3,840,0,6868.86
8,5,250.98,Y,1136,1332,2,1,4,1,1,3,872,3,7096
7,5,216.6,Y,1553,1177,2,1,4,1,1,2,576,20,6036
3,8,125.4,Y,1163,0,1,0,3,1,0,1,220,1,2539.5
7,7,234.5,Y,1898,1080,2,1,5,1,1,2,564,3,4856
5,6,109,N,803,0,1,0,2,1,0,2,360,57,1756
8,5,225.92,Y,1719,0,1,1,1,1,2,2,473,15,6496
6,5,241,Y,1383,0,1,1,3,1,0,1,292,46,2921
6,6,246.76,N,1445,689,2,0,5,1,0,2,441,15,4306
5,5,137.04,N,596,596,1,0,3,1,0,1,189,59,1576
5,4,221.48,Y,1728,0,2,0,6,2,0,1,352,43,2396
5,6,172.52,Y,1056,0,1,0,3,1,0,1,308,15,2796
8,5,222.1,Y,1629,0,2,0,3,1,1,3,880,5,5696
7,5,172.96,Y,1358,0,2,0,2,1,1,2,484,4,4156
6,5,189.84,Y,943,695,2,1,3,1,2,2,472,10,3856
5,6,3302.2,Y,1619,167,2,0,3,1,2,2,529,43,4595
9,5,292.14,Y,1922,0,2,0,3,1,1,3,676,1,7564.52
7,5,191.7,Y,1536,0,2,0,3,1,0,2,532,5,4296
7,7,291.9,Y,1621,0,2,0,3,1,0,2,440,8,4066
6,7,257,Y,1215,0,1,0,3,1,0,1,297,11,3116
8,5,292.82,Y,993,915,2,1,4,1,0,2,431,8,4074
4,4,177,Y,841,0,1,0,2,1,0,1,294,59,1656
3,4,179.88,N,1040,0,2,0,2,2,0,2,400,56,1766
9,5,185.98,Y,1684,0,2,0,2,1,1,2,564,3,5336
5,3,60.84,Y,536,576,1,1,3,1,0,1,336,34,1716
6,5,137.7,Y,972,605,1,0,3,1,1,1,312,56,2820
6,8,264.44,Y,958,0,1,0,2,1,0,1,301,9,3046
6,5,361,Y,1478,0,2,0,3,1,2,2,498,49,3166
7,5,57.96,Y,764,862,2,1,2,1,0,2,474,4,3096
9,5,417.62,Y,1848,880,2,1,4,1,2,3,706,0,8759.08
9,5,165.4,Y,1869,0,2,0,2,1,1,2,617,0,6377.22
7,5,114.42,Y,1453,0,1,1,2,1,1,2,445,20,3816
5,6,190.68,N,616,495,1,0,3,1,0,1,200,58,1916
6,8,179.4,Y,720,0,1,0,2,1,0,2,484,7,2134
6,5,177,Y,1192,403,1,0,2,1,2,1,240,6,2816
6,5,233.98,Y,1200,0,2,0,3,1,0,2,521,12,3566
6,6,193.96,Y,1167,0,2,0,3,1,0,2,400,17,3476
5,5,93.48,Y,1142,0,1,1,3,1,1,2,528,31,2696
5,4,147.6,Y,1352,0,1,0,3,1,0,1,288,48,2616
8,5,249.22,Y,1086,838,2,1,3,1,1,2,592,8,5616
6,6,159.8,Y,912,0,1,0,2,1,1,2,470,29,3136
5,5,191.88,Y,988,517,1,0,3,1,0,1,240,26,2916
7,5,155.02,Y,495,1427,3,0,4,1,1,2,672,6,3986
6,8,42.6,Y,483,504,1,1,2,1,0,1,264,2,2376
6,5,385,Y,790,784,2,1,3,1,1,2,566,30,3816
5,7,222.8,Y,672,672,1,0,3,1,0,1,468,12,2956
6,5,199,Y,1394,0,1,1,3,1,2,2,514,46,3196
6,5,192,Y,1431,0,1,0,3,1,1,1,296,46,3316
5,6,165,Y,1268,0,1,0,2,1,1,1,244,56,2656
5,7,205.6,Y,1287,0,1,0,3,1,1,2,576,4,3256
6,5,171.42,Y,953,711,2,1,3,1,1,2,460,6,3464
4,4,351.4,Y,1120,468,2,0,4,1,1,2,680,49,2704.64
6,5,152.5,Y,752,0,1,0,2,1,0,1,264,26,2516
5,6,221.68,Y,1319,0,1,0,3,1,0,1,270,56,2476
7,5,173,Y,847,1081,2,1,4,1,1,2,434,3,4406
1,1,209.4,N,904,0,0,1,1,1,0,0,0,59,1236
5,5,185.92,Y,914,0,1,0,2,1,0,2,576,10,2976
8,5,231.86,Y,1580,886,3,0,4,1,1,2,610,2,6816
9,2,236.88,Y,1856,0,1,1,1,1,1,3,834,0,7904.64
6,5,171.46,Y,1007,793,2,1,3,1,1,2,463,9,3596
5,6,109,Y,1026,665,2,0,3,1,1,1,308,60,2556
7,5,153,Y,1301,0,2,0,2,1,1,2,572,0,3771
7,5,193.9,Y,939,858,2,1,3,1,0,2,639,1,4286
6,3,189,N,784,0,1,0,2,1,0,2,360,59,1536
6,5,1071.14,Y,1079,874,2,1,3,1,2,2,501,15,4816
8,5,72.64,Y,1269,0,2,0,2,1,1,2,430,5,3856
5,3,177.2,Y,658,526,1,0,5,1,0,0,0,10,1636
6,6,153,Y,1125,0,1,0,3,1,1,1,352,33,2516
7,5,196.64,Y,1479,0,2,0,3,1,0,2,577,8,3836
10,5,258.48,Y,1742,590,2,1,3,1,1,3,846,0,8536
5,8,177.1,Y,961,406,1,0,4,1,0,1,384,58,2396
6,5,253.18,Y,804,1157,2,1,3,1,1,2,560,7,4316
5,7,175.78,Y,882,0,1,0,3,1,0,1,294,48,2146
4,5,157.92,Y,788,0,1,0,2,1,2,0,0,56,2016
5,6,211.68,Y,735,299,1,0,2,1,0,1,240,57,2196
5,6,200.42,Y,1144,0,1,0,3,1,0,1,596,54,2596
5,5,153,Y,894,0,1,0,2,1,0,2,600,37,2476
5,5,160.8,Y,876,936,2,0,4,1,1,1,264,45,3406
5,2,188.34,Y,1077,0,1,0,2,1,0,1,338,57,1356
7,5,171.5,Y,1112,438,2,0,2,1,0,2,438,2,4836
8,5,308.26,Y,1288,0,1,1,1,1,2,2,500,12,4926
7,5,184.34,Y,1310,0,2,0,3,1,1,2,400,1,3315.8
5,8,213,Y,672,0,1,0,2,1,0,1,240,11,2176
8,5,250.8,Y,1165,1098,2,1,4,1,1,2,420,8,5176
6,5,216.28,Y,806,766,2,1,3,1,1,2,373,11,3376
4,4,208.82,Y,1620,0,2,0,3,1,1,2,490,16,3016
6,5,218.6,Y,1166,0,1,0,3,1,0,1,240,58,2316
6,7,320.52,Y,840,840,2,0,4,1,0,1,308,32,3556
7,5,292.08,Y,1071,1101,2,1,3,1,1,3,947,1,5616
